"","Date","Activity","Duration","Distance","Steps","Calories"
"1","2014-05-01","walking",3401,2.458,5197,195
"2","2014-05-01","transport",5349,15.971,0,0
"3","2014-05-02","walking",4357,3.61,6882,287
"4","2014-05-02","transport",2683,9.711,0,0
"5","2014-05-02","running",1800,0,4500,267
"6","2014-05-02","transport",2671,7.816,0,0
"7","2014-05-03","walking",2677,1.829,3857,145
"8","2014-05-03","transport",8721,53.979,0,0
"9","2014-05-04","walking",4531,3.954,7388,314
"10","2014-05-04","transport",420,0.816,0,0
"11","2014-05-05","walking",4522,3.631,7345,289
"12","2014-05-05","transport",3411,8.721,0,0
"13","2014-05-05","running",1202,2.173,3213,209
"14","2014-05-06","walking",4950,3.583,7675,285
"15","2014-05-06","transport",4617,15.488,0,0
"16","2014-05-06","running",1800,0,0,267
"17","2014-05-07","walking",3518,2.585,5509,206
"18","2014-05-07","transport",6174,18.347,0,0
"19","2014-05-07","running",150,0.218,337,21
"20","2014-05-08","walking",4817,3.526,7251,280
"21","2014-05-08","transport",4942,21.403,0,0
"22","2014-05-09","walking",7420,5.674,12099,451
"23","2014-05-09","transport",5465,14.241,0,0
"24","2014-05-09","running",1800,0,0,267
"25","2014-05-10","walking",853,0.519,1251,41
"26","2014-05-10","transport",1176,3.772,0,0
"27","2014-05-11","walking",1525,0.94,2208,75
"28","2014-05-11","transport",2411,11.605,0,0
"29","2014-05-12","walking",8915,6.422,13614,511
"30","2014-05-12","transport",5053,15.805,0,0
"31","2014-05-12","running",900,0,2250,133
"32","2014-05-13","walking",2880,2.169,4428,172
"33","2014-05-13","transport",5110,15.281,0,0
"34","2014-05-14","walking",4257,2.981,6272,237
"35","2014-05-14","transport",4433,15.013,0,0
"36","2014-05-14","running",153,0.23,375,22
"37","2014-05-15","walking",3002,2.305,4539,183
"38","2014-05-15","transport",5097,15.19,0,0
"39","2014-05-16","walking",3843,2.842,5715,226
"40","2014-05-16","transport",5338,14.866,0,0
"41","2014-05-16","running",1800,0,4500,267
"42","2014-05-17","walking",828,0.551,1300,44
"43","2014-05-17","transport",855,3.654,0,0
"44","2014-05-18","walking",5437,4.517,8153,359
"45","2014-05-18","transport",546,1.96,0,0
"46","2014-05-19","walking",5607,3.749,8453,298
"47","2014-05-19","transport",4534,15.053,0,0
"48","2014-05-19","running",1800,0,4500,267
"49","2014-05-20","walking",4273,2.973,6297,236
"50","2014-05-20","transport",6331,16.684,0,0
"51","2014-05-20","running",156,0.433,465,41
"52","2014-05-21","walking",5482,3.582,7840,285
"53","2014-05-21","transport",5467,15.608,0,0
"54","2014-05-21","running",1565,0.203,271,231
"55","2014-05-22","walking",7935,5.454,11434,434
"56","2014-05-22","transport",4662,14.554,0,0
"57","2014-05-23","walking",6173,4.779,9217,380
"58","2014-05-23","transport",4842,15.779,0,0
"59","2014-05-24","walking",2807,2.274,4918,181
"60","2014-05-24","transport",3716,12.961,0,0
"61","2014-05-25","walking",1403,1.082,2159,86
"62","2014-05-25","transport",1040,1.23,0,0
"63","2014-05-26","walking",10600,7.562,15871,601
"64","2014-05-26","transport",3163,8.633,0,0
"65","2014-05-27","walking",4168,3.117,6264,248
"66","2014-05-27","transport",6132,16.682,0,0
"67","2014-05-28","walking",2912,2.2,4464,175
"68","2014-05-28","transport",3731,9.268,0,0
"69","2014-05-29","walking",3925,2.904,6061,231
"70","2014-05-29","transport",847,2.884,0,0
"71","2014-05-30","walking",2486,1.974,4032,157
"72","2014-05-30","transport",164,0.644,0,0
"73","2014-05-31","walking",5459,3.871,7561,308
"74","2014-05-31","transport",4264,14.747,0,0
"75","2014-06-01","walking",1433,0.869,1955,69
"76","2014-06-01","transport",1590,6.421,0,0
"77","2014-06-02","walking",2674,1.845,3804,147
"78","2014-06-02","transport",3768,9.49,0,0
"79","2014-06-03","walking",5314,4.494,8924,357
"80","2014-06-03","transport",6592,15.285,0,0
"81","2014-06-04","walking",3334,2.249,4755,179
"82","2014-06-04","transport",5184,12.733,0,0
"83","2014-06-05","walking",7678,5.924,11605,471
"84","2014-06-05","transport",6159,17.065,0,0
"85","2014-06-06","walking",2081,1.397,3293,111
"86","2014-06-06","transport",3633,9.358,0,0
"87","2014-06-07","walking",6954,4.762,10694,379
"88","2014-06-07","transport",5787,17.731,0,0
"89","2014-06-07","running",181,0.266,447,26
"90","2014-06-08","walking",5447,4.402,8021,350
"91","2014-06-08","transport",182,0.707,0,0
"92","2014-06-09","walking",5186,4.07,8195,324
"93","2014-06-09","transport",3221,8.182,0,0
"94","2014-06-10","walking",2579,1.928,4176,153
"95","2014-06-10","transport",5610,16.077,0,0
"96","2014-06-11","walking",2803,2.243,4499,178
"97","2014-06-11","transport",3202,8.807,0,0
"98","2014-06-12","walking",2460,1.761,3686,140
"99","2014-06-12","transport",3141,9.567,0,0
"100","2014-06-13","walking",4576,3.444,7163,274
"101","2014-06-13","transport",4789,15.413,0,0
"102","2014-06-14","walking",1104,0.667,1574,53
"103","2014-06-14","transport",973,3.6,0,0
"104","2014-06-15","walking",1124,0.687,1468,55
"105","2014-06-15","transport",4134,14.102,0,0
"106","2014-06-16","walking",4306,3.304,6689,263
"107","2014-06-16","transport",3884,13.415,0,0
"108","2014-06-16","running",124,0.192,262,19
"109","2014-06-17","walking",2052,1.5,3115,119
"110","2014-06-17","transport",3640,8.664,0,0
"111","2014-06-18","walking",6589,5.203,9827,414
"112","2014-06-18","transport",3354,8.484,0,0
"113","2014-06-19","walking",2935,2.156,4467,171
"114","2014-06-19","transport",5927,16.307,0,0
"115","2014-06-19","running",150,0.1,203,11
"116","2014-06-20","walking",8412,6.046,12342,481
"117","2014-06-20","transport",7807,29.255,0,0
"118","2014-06-21","walking",675,0.428,951,34
"119","2014-06-21","transport",943,3.821,0,0
"120","2014-06-22","walking",6643,6.755,10898,537
"121","2014-06-22","transport",2418,6.301,0,0
"122","2014-06-23","walking",3244,2.252,5030,179
"123","2014-06-23","transport",4477,13.135,0,0
"124","2014-06-23","running",150,0.263,369,25
"125","2014-06-24","walking",2527,1.644,3660,131
"126","2014-06-24","transport",3196,9.527,0,0
"127","2014-06-24","running",240,0.519,633,49
"128","2014-06-25","walking",2883,2.044,4240,163
"129","2014-06-25","transport",3003,9.237,0,0
"130","2014-06-26","walking",2894,1.924,4053,153
"131","2014-06-26","transport",3527,10.05,0,0
"132","2014-06-26","running",181,0.212,339,21
"133","2014-06-27","walking",7545,5.535,11885,440
"134","2014-06-27","transport",7038,20.643,0,0
"135","2014-06-28","walking",1663,1.068,2317,85
"136","2014-06-28","transport",1063,3.693,0,0
"137","2014-06-29","walking",1243,1.072,2133,85
"138","2014-06-29","transport",128,0.572,0,0
"139","2014-06-30","walking",3199,2.383,5084,190
"140","2014-06-30","transport",3037,9.45,0,0
"141","2014-06-30","running",270,0.434,595,42
"142","2014-07-01","walking",2589,1.768,3604,141
"143","2014-07-01","transport",5659,17.022,0,0
"144","2014-07-02","walking",366,0.181,495,14
"145","2014-07-03","walking",3354,2.428,5135,193
"146","2014-07-03","transport",4432,12.647,0,0
"147","2014-07-04","walking",110,0.047,146,4
"148","2014-07-05","walking",729,0.534,1195,42
"149","2014-07-05","transport",1206,3.469,0,0
"150","2014-07-06","walking",7547,6.16,12001,490
"151","2014-07-06","transport",1441,3.359,0,0
"152","2014-07-07","walking",2851,2.003,4327,159
"153","2014-07-07","transport",4103,13.431,0,0
"154","2014-07-08","walking",3529,2.837,5799,226
"155","2014-07-08","transport",3368,10.795,0,0
"156","2014-07-08","running",210,0.437,597,42
"157","2014-07-09","walking",2433,1.734,3637,138
"158","2014-07-09","transport",3478,7.901,0,0
"159","2014-07-10","walking",4928,3.677,7232,292
"160","2014-07-10","transport",3318,10.445,0,0
"161","2014-07-11","walking",4914,3.808,7792,303
"162","2014-07-11","transport",3943,11.592,0,0
"163","2014-07-12","walking",6690,5.615,10927,447
"164","2014-07-12","transport",5971,13.524,0,0
"165","2014-07-12","running",811,1.529,2223,147
"166","2014-07-13","walking",5346,4.301,8053,342
"167","2014-07-13","transport",1488,3.975,0,0
"168","2014-07-13","running",150,0.084,106,9
"169","2014-07-14","walking",3967,2.965,5719,236
"170","2014-07-14","transport",6695,21.418,0,0
"171","2014-07-15","walking",2245,1.732,3432,138
"172","2014-07-15","transport",3970,10.765,0,0
"173","2014-07-16","walking",2620,1.824,3894,145
"174","2014-07-16","transport",3391,9.638,0,0
"175","2014-07-17","walking",211,0.087,278,7
"176","2014-07-18","walking",4137,3.025,5754,241
"177","2014-07-18","transport",2782,9.167,0,0
"178","2014-07-19","walking",3794,2.715,5858,216
"179","2014-07-19","transport",5940,36.674,0,0
"180","2014-07-20","walking",2787,1.916,4282,152
"181","2014-07-20","transport",6135,29.397,0,0
"182","2014-07-21","walking",3758,2.84,5593,226
"183","2014-07-21","transport",2793,8.735,0,0
"184","2014-07-22","walking",3800,2.858,5639,227
"185","2014-07-22","transport",2799,8.759,0,0
"186","2014-07-23","walking",6414,5.14,9389,409
"187","2014-07-23","transport",4196,14.904,0,0
"188","2014-07-24","walking",3769,2.587,5449,206
"189","2014-07-24","transport",3110,9.979,0,0
"190","2014-07-25","walking",5923,4.554,9462,362
"191","2014-07-25","transport",5844,13.369,0,0
"192","2014-07-26","walking",4083,3.162,6280,251
"193","2014-07-26","transport",1774,6.102,0,0
"194","2014-07-27","walking",826,0.687,1408,55
"195","2014-07-27","running",1681,2.724,4426,264
"196","2014-07-27","transport",550,1.46,0,0
"197","2014-07-28","walking",5315,3.951,7702,314
"198","2014-07-28","transport",3589,9.221,0,0
"199","2014-07-29","walking",4247,3.26,6282,259
"200","2014-07-29","transport",5710,18.776,0,0
"201","2014-07-30","walking",2841,2.357,4626,187
"202","2014-07-30","transport",3575,9.884,0,0
"203","2014-07-31","walking",3007,2.309,4657,184
"204","2014-07-31","transport",3633,10.309,0,0
"205","2014-08-01","walking",3775,2.587,5515,206
"206","2014-08-01","transport",5687,16.194,0,0
"207","2014-08-01","running",210,0.316,488,31
"208","2014-08-02","walking",2597,1.806,3803,144
"209","2014-08-02","transport",3314,10.131,0,0
"210","2014-08-03","walking",1157,0.57,1579,45
"211","2014-08-03","transport",1043,3.504,0,0
"212","2014-08-03","running",1502,2.361,3803,229
"213","2014-08-04","walking",4013,2.888,5838,230
"214","2014-08-04","transport",3517,9.368,0,0
"215","2014-08-05","walking",4262,3.047,6375,242
"216","2014-08-05","transport",5561,15.424,0,0
"217","2014-08-06","walking",4160,3.046,6220,242
"218","2014-08-06","transport",3618,9.229,0,0
"219","2014-08-06","running",180,0.321,510,31
"220","2014-08-07","walking",3858,2.744,5569,218
"221","2014-08-07","transport",3708,9.321,0,0
"222","2014-08-08","walking",8957,6.949,13422,553
"223","2014-08-08","transport",9036,26.767,0,0
"224","2014-08-09","transport",2287,10.182,0,0
"225","2014-08-09","walking",539,0.196,508,16
"226","2014-08-10","walking",2897,2.28,4622,181
"227","2014-08-10","transport",6750,15.098,0,0
"228","2014-08-11","walking",2433,2.019,3864,161
"229","2014-08-11","transport",3811,10.192,0,0
"230","2014-08-12","walking",3477,2.356,5172,187
"231","2014-08-12","transport",5856,15.913,0,0
"232","2014-08-13","walking",1705,1.176,2742,93
"233","2014-08-13","transport",3871,10.719,0,0
"234","2014-08-14","walking",4030,3.217,6503,256
"235","2014-08-14","transport",5298,15.201,0,0
"236","2014-08-15","walking",5080,4.117,8144,327
"237","2014-08-15","transport",4876,16.204,0,0
"238","2014-08-16","walking",2398,1.816,3857,144
"239","2014-08-16","transport",904,3.194,0,0
"240","2014-08-17","walking",1684,1.105,2115,88
"241","2014-08-17","transport",1333,3.747,0,0
"242","2014-08-18","walking",5422,3.846,8063,306
"243","2014-08-18","transport",2914,8.595,0,0
"244","2014-08-19","walking",3004,2.08,4385,165
"245","2014-08-19","transport",5571,16.678,0,0
"246","2014-08-20","walking",4266,3.368,6703,268
"247","2014-08-20","transport",3725,9.258,0,0
"248","2014-08-21","walking",6311,4.896,9427,389
"249","2014-08-21","transport",3217,7.98,0,0
"250","2014-08-22","walking",4501,3.146,6655,250
"251","2014-08-22","transport",5622,16.671,0,0
"252","2014-08-23","walking",926,0.483,1261,38
"253","2014-08-23","transport",1058,3.608,0,0
"254","2014-08-24","walking",565,0.373,889,30
"255","2014-08-24","running",1143,1.775,2718,172
"256","2014-08-24","transport",675,1.475,0,0
"257","2014-08-25","walking",3654,2.576,5531,205
"258","2014-08-25","transport",5716,17.52,0,0
"259","2014-08-26","walking",4467,3.48,6600,277
"260","2014-08-26","transport",8338,22.399,0,0
"261","2014-08-26","running",1202,2.182,2800,210
"262","2014-08-27","walking",4695,3.984,7631,317
"263","2014-08-27","transport",3581,8.408,0,0
"264","2014-08-28","walking",3504,2.529,5522,201
"265","2014-08-28","transport",3788,10.44,0,0
"266","2014-08-29","walking",5222,3.936,8228,313
"267","2014-08-29","transport",5913,16.7,0,0
"268","2014-08-29","running",180,0.337,455,32
"269","2014-08-30","walking",1177,0.652,1565,52
"270","2014-08-30","transport",886,3.578,0,0
"271","2014-08-31","walking",3488,2.648,5301,211
"272","2014-08-31","transport",4834,13.096,0,0
"273","2014-09-01","walking",5129,3.701,8134,294
"274","2014-09-01","running",1245,2.201,3094,212
"275","2014-09-01","transport",7153,31.913,0,0
"276","2014-09-02","walking",1423,1.092,2280,87
"277","2014-09-02","transport",1163,3.096,0,0
"278","2014-09-03","walking",3607,2.545,5244,202
"279","2014-09-03","transport",4517,9.523,0,0
"280","2014-09-04","walking",2254,1.77,3508,141
"281","2014-09-04","transport",3803,8.861,0,0
"282","2014-09-05","walking",3351,2.324,5021,185
"283","2014-09-05","transport",6479,17.233,0,0
"284","2014-09-05","running",560,0.749,1137,74
"285","2014-09-06","walking",3109,2.393,4914,190
"286","2014-09-06","transport",601,1.516,0,0
"287","2014-09-07","walking",1884,1.586,3082,126
"288","2014-09-08","walking",3944,3.076,6283,245
"289","2014-09-08","transport",4582,9.825,0,0
"290","2014-09-09","walking",3157,2.351,5050,187
"291","2014-09-09","transport",4115,9.547,0,0
"292","2014-09-10","walking",6654,5.108,10256,406
"293","2014-09-10","transport",5371,15.442,0,0
"294","2014-09-11","walking",2872,2.191,4439,174
"295","2014-09-11","transport",3889,8.91,0,0
"296","2014-09-12","walking",5122,3.926,7763,312
"297","2014-09-12","transport",8558,21.668,0,0
"298","2014-09-13","walking",4171,3.558,6874,283
"299","2014-09-13","transport",1721,5.192,0,0
"300","2014-09-14","walking",2314,1.409,2893,112
"301","2014-09-14","transport",4493,26.054,0,0
"302","2014-09-14","transport",16170,2903.221,0,0
"303","2014-09-15","walking",5494,4.304,8027,342
"304","2014-09-15","transport",410,1.886,0,0
"305","2014-09-15","running",3900,0,9750,578
"306","2014-09-16","walking",5740,4.442,8658,353
"307","2014-09-17","walking",3553,2.259,5157,180
"308","2014-09-17","transport",2814,29.08,0,0
"309","2014-09-17","transport",21093,2901.088,0,0
"310","2014-09-18","walking",1809,1.43,2950,114
"311","2014-09-18","transport",3308,9.546,0,0
"312","2014-09-18","running",240,0.422,563,41
"313","2014-09-19","walking",1984,1.585,3228,126
"314","2014-09-19","transport",3636,9.92,0,0
"315","2014-09-20","walking",7007,5.438,11112,433
"316","2014-09-20","transport",4812,12.374,0,0
"317","2014-09-20","running",210,0.237,0,9
"318","2014-09-21","walking",1901,1.448,3041,115
"319","2014-09-21","transport",120,0.377,0,0
"320","2014-09-22","walking",3269,2.681,5386,213
"321","2014-09-22","transport",3550,7.641,0,0
"322","2014-09-23","walking",4105,3.229,6613,257
"323","2014-09-23","transport",3746,8.98,0,0
"324","2014-09-24","walking",3276,2.632,5464,209
"325","2014-09-24","transport",4984,11.308,0,0
"326","2014-09-24","running",1143,1.877,3106,181
"327","2014-09-25","walking",3235,2.507,5128,199
"328","2014-09-25","transport",3910,11.185,0,0
"329","2014-09-25","running",1172,1.931,3140,187
"330","2014-09-26","walking",6584,5.942,10992,473
"331","2014-09-26","transport",5324,15.54,0,0
"332","2014-09-27","walking",6229,3.933,9302,313
"333","2014-09-27","transport",11364,37.312,0,0
"334","2014-09-28","walking",809,0.469,1080,37
"335","2014-09-29","walking",1536,1.156,2361,92
"336","2014-09-29","transport",1931,4.285,0,0
"337","2014-09-30","walking",812,0.454,1156,36
"338","2014-09-30","transport",1052,1.863,0,0
"339","2014-09-30","running",1082,1.873,2825,180
"340","2014-10-01","walking",825,0.765,1405,61
"341","2014-10-01","transport",2927,8.274,0,0
"342","2014-10-02","walking",2632,2.159,4454,172
"343","2014-10-02","transport",4572,10.167,0,0
"344","2014-10-03","walking",1072,0.716,1610,57
"345","2014-10-03","transport",2562,8.339,0,0
"346","2014-10-04","walking",1821,1.315,2718,105
"347","2014-10-04","transport",1111,2.558,0,0
"348","2014-10-05","walking",2873,1.997,4362,159
"349","2014-10-05","running",1347,2.36,3564,227
"350","2014-10-05","transport",3866,12.341,0,0
"351","2014-10-06","walking",3061,2.31,5054,184
"352","2014-10-06","transport",3821,9.414,0,0
"353","2014-10-07","walking",2802,1.942,4192,154
"354","2014-10-07","transport",4384,8.97,0,0
"355","2014-10-09","walking",200,0.085,267,7
"356","2014-10-10","walking",1178,0.689,1579,55
"357","2014-10-11","walking",3552,2.395,5461,190
"358","2014-10-11","transport",7762,29.333,0,0
"359","2014-10-12","walking",828,0.478,1110,38
"360","2014-10-12","transport",915,4.493,0,0
"361","2014-10-13","walking",4087,2.706,5948,215
"362","2014-10-13","transport",2801,9.083,0,0
"363","2014-10-14","walking",2754,2.174,4376,173
"364","2014-10-14","transport",3319,9.328,0,0
"365","2014-10-15","walking",3423,2.395,4922,191
"366","2014-10-15","transport",3612,9.598,0,0
"367","2014-10-16","walking",2617,1.886,4204,150
"368","2014-10-16","transport",3940,10.479,0,0
"369","2014-10-17","walking",2190,1.396,3166,111
"370","2014-10-17","transport",3877,9.867,0,0
"371","2014-10-17","running",120,0.216,341,21
"372","2014-10-18","walking",4290,3.135,6618,249
"373","2014-10-18","transport",6431,23.888,0,0
"374","2014-10-19","walking",5789,4.035,8242,321
"375","2014-10-19","transport",1424,3.662,0,0
"376","2014-10-20","walking",2722,1.927,4250,153
"377","2014-10-20","transport",5076,12.578,0,0
"378","2014-10-21","walking",3503,2.658,5399,211
"379","2014-10-21","transport",3826,8.408,0,0
"380","2014-10-22","walking",2967,2.223,4592,177
"381","2014-10-22","transport",3590,8.608,0,0
"382","2014-10-23","walking",3232,2.545,5032,202
"383","2014-10-23","transport",3792,12.088,0,0
"384","2014-10-23","running",239,0.436,630,42
"385","2014-10-24","walking",5130,4.223,7919,336
"386","2014-10-24","transport",5114,14.35,0,0
"387","2014-10-25","walking",2930,1.93,4423,153
"388","2014-10-25","transport",8510,24.47,0,0
"389","2014-10-26","walking",853,0.487,1145,39
"390","2014-10-27","walking",810,0.492,1055,39
"391","2014-10-27","transport",9035,78.071,0,0
"392","2014-10-27","running",121,0.209,269,20
"393","2014-10-28","walking",2576,2.103,4117,167
"394","2014-10-28","transport",3504,8.807,0,0
"395","2014-10-29","walking",4217,3.155,6472,251
"396","2014-10-29","transport",5850,12.625,0,0
"397","2014-10-29","running",184,0.163,295,17
"398","2014-10-30","walking",3120,2.334,5054,186
"399","2014-10-30","transport",3731,8.794,0,0
"400","2014-10-31","walking",5699,3.782,8562,301
"401","2014-10-31","transport",7913,19.146,0,0
"402","2014-11-01","walking",1676,1.112,2481,88
"403","2014-11-01","transport",901,3.51,0,0
"404","2014-11-02","walking",2778,1.629,3943,130
"405","2014-11-02","transport",6271,22.616,0,0
"406","2014-11-02","running",1987,2.943,4970,287
"407","2014-11-03","walking",1907,1.453,2806,116
"408","2014-11-03","transport",6986,17.134,0,0
"409","2014-11-03","running",180,0.246,384,24
"410","2014-11-04","walking",2586,1.804,3924,143
"411","2014-11-04","transport",4384,10.446,0,0
"412","2014-11-05","walking",2188,1.655,3513,132
